,created_by,created_at,closed_by,closed_at,labels,interactions,repository,type,size,merged_at,commits_number,referenced_issues,reviews,requested_reviewers
106,fridex,1530158392,thoth-zuul[bot],1530722313.0,"['approved', 'size/XS']","{'sesheta': 91, 'thoth-zuul[bot]': 29, 'fridex': 44, 'goern': 3}",thoth-station/core,PullRequest,XS,1530722313.0,2.0,[],"{'132789388': {'author': 'goern', 'words_count': 14, 'submitted_at': 1530175536, 'state': 'CHANGES_REQUESTED'}, '134453494': {'author': 'goern', 'words_count': 1, 'submitted_at': 1530722203, 'state': 'APPROVED'}}",[]
107,fridex,1530156623,sesheta,1530180931.0,"['approved', 'size/XS']","{'thoth-zuul[bot]': 67, 'sesheta': 65}",thoth-station/core,PullRequest,XS,1530180931.0,3.0,[],"{'132797782': {'author': 'goern', 'words_count': 2, 'submitted_at': 1530177339, 'state': 'APPROVED'}}",[]
108,harshad16,1530113106,sesheta,1530120614.0,"['approved', 'size/L']","{'thoth-zuul[bot]': 60, 'harshad16': 10, 'goern': 1, 'sesheta': 65, 'fridex': 274}",thoth-station/core,PullRequest,L,1530120614.0,2.0,[],"{'132565203': {'author': 'goern', 'words_count': 38, 'submitted_at': 1530118565, 'state': 'APPROVED'}, '132567278': {'author': 'goern', 'words_count': 1, 'submitted_at': 1530118907, 'state': 'APPROVED'}}",['fridex']
109,hemajv,1530107848,hemajv,1530111460.0,['size/S'],"{'sesheta': 91, 'thoth-zuul[bot]': 8}",thoth-station/core,PullRequest,S,,1.0,[],{},"['goern', 'fridex']"
110,goern,1530088418,goern,1530088627.0,['size/S'],"{'sesheta': 91, 'thoth-zuul[bot]': 9}",thoth-station/core,PullRequest,S,1530088627.0,1.0,[],"{'132682515': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1530152366, 'state': 'COMMENTED'}}",[]
111,goern,1530084299,goern,1530085179.0,['size/S'],{'sesheta': 91},thoth-station/core,PullRequest,S,1530085179.0,1.0,[],{},['fridex']
112,hemajv,1530040458,hemajv,1530111248.0,"['needs-rebase', 'size/XS']","{'sesheta': 91, 'goern': 1, 'thoth-zuul[bot]': 9}",thoth-station/core,PullRequest,XS,,1.0,[],"{'132209121': {'author': 'goern', 'words_count': 1, 'submitted_at': 1530040724, 'state': 'APPROVED'}, '132360386': {'author': 'goern', 'words_count': 1, 'submitted_at': 1530085758, 'state': 'CHANGES_REQUESTED'}}",['fridex']
113,hemajv,1530040266,hemajv,1530111266.0,"['needs-rebase', 'size/XS']","{'sesheta': 91, 'goern': 2, 'thoth-zuul[bot]': 9}",thoth-station/core,PullRequest,XS,,1.0,[],"{'132208879': {'author': 'goern', 'words_count': 1, 'submitted_at': 1530040677, 'state': 'APPROVED'}}",['fridex']
114,hemajv,1530039673,sesheta,1530085528.0,"['approved', 'lgtm', 'size/XS']","{'goern': 2, 'thoth-zuul[bot]': 9, 'sesheta': 65}",thoth-station/core,PullRequest,XS,1530085528.0,1.0,[],"{'132208650': {'author': 'goern', 'words_count': 1, 'submitted_at': 1530040629, 'state': 'COMMENTED'}}",['fridex']
115,hemajv,1530037583,sesheta,1530118357.0,"['approved', 'needs-rebase', 'size/S']","{'goern': 42, 'hemajv': 32, 'thoth-zuul[bot]': 18, 'sesheta': 65}",thoth-station/core,PullRequest,S,1530118357.0,1.0,[],"{'132360859': {'author': 'goern', 'words_count': 18, 'submitted_at': 1530085836, 'state': 'CHANGES_REQUESTED'}, '132563959': {'author': 'goern', 'words_count': 1, 'submitted_at': 1530118349, 'state': 'APPROVED'}}",['fridex']
